name,kSAT,vars,solution,runtime
MyDumbSAT,2,23,U,50.229095458984375
MyDumbSAT,2,24,U,48.06158900260925
MyDumbSAT,2,23,U,50.66947674751282
MyDumbSAT,2,23,S,12.830083131790161
MyDumbSAT,3,4,U,0.00020599365234375
MyDumbSAT,3,4,S,0.00014352798461914062
MyDumbSAT,3,4,S,0.0001347064971923828
MyDumbSAT,3,4,S,0.0001957416534423828
MyDumbSAT,3,4,U,0.0002110004425048828
MyDumbSAT,3,4,S,0.0001895427703857422
MyDumbSAT,3,4,U,0.00017547607421875
MyDumbSAT,3,4,U,0.00016736984252929688
MyDumbSAT,3,4,U,0.0001919269561767578
MyDumbSAT,3,4,S,0.00017499923706054688
MyDumbSAT,3,8,S,0.0007832050323486328
MyDumbSAT,3,8,S,0.000247955322265625
MyDumbSAT,3,8,S,0.0012159347534179688
MyDumbSAT,3,8,U,0.0023810863494873047
MyDumbSAT,3,8,U,0.0013954639434814453
MyDumbSAT,3,8,U,0.0015194416046142578
MyDumbSAT,3,8,U,0.0015826225280761719
MyDumbSAT,3,8,U,0.0016674995422363281
MyDumbSAT,3,8,U,0.0011873245239257812
MyDumbSAT,3,8,U,0.0015778541564941406
MyDumbSAT,3,12,U,0.025281906127929688
MyDumbSAT,3,12,S,0.0031528472900390625
MyDumbSAT,3,12,U,0.024608373641967773
MyDumbSAT,3,12,S,0.01500701904296875
MyDumbSAT,3,12,U,0.0228726863861084
MyDumbSAT,3,12,U,0.024773597717285156
MyDumbSAT,3,12,U,0.024444103240966797
MyDumbSAT,3,12,U,0.02619004249572754
MyDumbSAT,3,12,S,0.012169122695922852
MyDumbSAT,3,12,U,0.025749683380126953
MyDumbSAT,3,16,U,0.4235038757324219
MyDumbSAT,3,16,S,0.11234617233276367
MyDumbSAT,3,16,U,0.39655256271362305
MyDumbSAT,3,16,U,0.3941001892089844
MyDumbSAT,3,16,U,0.35883092880249023
MyDumbSAT,3,16,U,0.4190075397491455
MyDumbSAT,3,16,U,0.420133113861084
MyDumbSAT,3,16,U,0.3578798770904541
MyDumbSAT,3,16,U,0.38704442977905273
MyDumbSAT,3,16,S,0.024210214614868164
MyDumbSAT,3,18,U,1.599226713180542
MyDumbSAT,3,18,U,1.5421478748321533
MyDumbSAT,3,18,U,1.851883888244629
MyDumbSAT,3,18,U,1.5975208282470703
MyDumbSAT,3,18,U,1.567312240600586
MyDumbSAT,3,18,S,0.19313549995422363
MyDumbSAT,3,18,S,0.1059103012084961
MyDumbSAT,3,18,S,1.0095241069793701
MyDumbSAT,3,18,U,1.393334150314331
