name,kSAT,vars,solution,runtime
DumbSAT,2,4,U,0.0002193450927734375
DumbSAT,2,4,S,8.845329284667969e-05
DumbSAT,2,4,U,6.318092346191406e-05
DumbSAT,2,4,S,3.6716461181640625e-05
DumbSAT,2,4,S,5.125999450683594e-05
DumbSAT,2,4,S,5.698204040527344e-05
DumbSAT,2,4,S,3.409385681152344e-05
DumbSAT,2,4,U,5.5789947509765625e-05
DumbSAT,2,4,U,5.626678466796875e-05
DumbSAT,2,4,U,5.53131103515625e-05
DumbSAT,2,8,U,0.0006258487701416016
DumbSAT,2,8,U,0.0005669593811035156
DumbSAT,2,7,S,0.00021505355834960938
DumbSAT,2,8,S,0.0005283355712890625
DumbSAT,2,8,U,0.0006341934204101562
DumbSAT,2,8,U,0.00048828125
DumbSAT,2,8,S,0.000148773193359375
DumbSAT,2,8,U,0.0004904270172119141
DumbSAT,2,8,S,0.0002269744873046875
DumbSAT,2,8,S,0.0004558563232421875
DumbSAT,2,12,S,0.0030198097229003906
DumbSAT,2,12,S,0.0033409595489501953
DumbSAT,2,12,U,0.009228229522705078
DumbSAT,2,12,U,0.0072782039642333984
DumbSAT,2,12,S,0.0005240440368652344
DumbSAT,2,11,U,0.005412101745605469
DumbSAT,2,12,U,0.006910800933837891
DumbSAT,2,12,S,0.008196592330932617
DumbSAT,2,12,U,0.008293628692626953
DumbSAT,2,12,S,0.004221916198730469
DumbSAT,2,16,S,0.014595508575439453
DumbSAT,2,16,U,0.12849187850952148
DumbSAT,2,16,S,0.13260436058044434
DumbSAT,2,16,S,0.11686253547668457
DumbSAT,2,14,U,0.02583932876586914
DumbSAT,2,16,S,0.1268913745880127
DumbSAT,2,15,U,0.05881071090698242
DumbSAT,2,16,U,0.15275883674621582
DumbSAT,2,16,S,0.03954195976257324
DumbSAT,2,15,U,0.06794023513793945
DumbSAT,2,18,U,0.5085620880126953
DumbSAT,2,16,U,0.1604928970336914
DumbSAT,2,17,U,0.25083422660827637
DumbSAT,2,18,U,0.46697282791137695
DumbSAT,2,18,U,0.4722573757171631
DumbSAT,2,18,U,0.5398128032684326
DumbSAT,2,18,U,0.5155820846557617
DumbSAT,2,18,S,0.05420947074890137
DumbSAT,2,17,U,0.2618105411529541
DumbSAT,2,18,S,0.0027501583099365234
DumbSAT,2,19,U,0.9565606117248535
DumbSAT,2,20,U,1.7877438068389893
DumbSAT,2,20,S,1.4193115234375
DumbSAT,2,19,U,1.115370750427246
DumbSAT,2,20,U,2.1430063247680664
DumbSAT,2,18,U,0.5653891563415527
DumbSAT,2,20,U,2.080583095550537
DumbSAT,2,19,S,0.8556246757507324
DumbSAT,2,20,U,2.0077531337738037
DumbSAT,2,20,S,0.3088223934173584
DumbSAT,2,22,S,1.7876183986663818
DumbSAT,2,22,U,7.618924379348755
DumbSAT,2,21,U,3.9937257766723633
DumbSAT,2,20,U,1.7827503681182861
DumbSAT,2,21,U,4.580889701843262
DumbSAT,2,21,U,3.8933825492858887
DumbSAT,2,22,U,8.573064088821411
DumbSAT,2,22,U,7.475510120391846
DumbSAT,2,22,U,7.411493539810181
DumbSAT,2,21,U,3.4200353622436523
DumbSAT,2,24,S,0.8058755397796631
DumbSAT,2,24,U,32.377443075180054
DumbSAT,2,23,U,14.773977994918823
DumbSAT,2,24,S,23.83976936340332
DumbSAT,2,23,U,14.975404262542725
DumbSAT,2,24,U,28.97220802307129
DumbSAT,2,23,U,14.843722343444824
DumbSAT,2,24,U,28.46555233001709
DumbSAT,2,23,U,11.871462345123291
